headword,pos,topic,confidence,rawTopic
leek,noun,food,0.990,food
left,adjective,general,0.780,general
left,adverb,general,0.890,general
left,noun,general,0.450,general
left-hand,adjective,general,0.480,body
leg,noun,body,1.000,body
legacy,noun,arts,0.820,arts
legal,adjective,society,0.990,society
legally,adverb,society,0.830,society
legend,noun,arts,0.980,arts
legendary,adjective,general,0.740,general
legion,noun,society,0.930,society
legislate,verb,society,1.000,society
legislation,noun,society,1.000,society
legislative,adjective,society,1.000,society
legislator,noun,society,1.000,society
legislature,noun,society,1.000,society
legitimate,adjective,general,0.490,general
leisure,noun,entertainment,0.720,entertainment
leisurely,adverb,general,0.980,general
lemon,noun,food,1.000,food
lemonade,noun,food,1.000,food
lend,verb,business,0.810,business
length,noun,general,1.000,general
lengthen,verb,general,0.970,general
lengthy,adjective,general,0.970,general
leopard,noun,animals,1.000,animals
less,adverb,general,1.000,general
less,determiner,general,1.000,general
less,pronoun,general,1.000,general
lessen,verb,general,0.990,general
lesson,noun,education,1.000,education
lest,conjunction,general,1.000,general
let,verb,general,1.000,general
lethargic,adjective,feelings,0.860,feelings
lethargically,adverb,general,0.520,general
lethargy,noun,feelings,0.590,feelings
letter,noun,communication,1.000,communication
lettuce,noun,food,1.000,food
level,adjective,general,0.970,general
level,noun,general,0.770,general
level,verb,general,0.910,general
liaise,verb,communication,0.600,communication
liaison,noun,communication,0.570,communication
liar,noun,feelings,0.590,feelings
liberal,adjective,society,0.800,society
liberate,verb,society,0.960,society
liberation,noun,society,1.000,society
liberty,noun,society,1.000,society
librarian,noun,work,0.870,work
library,noun,education,0.550,education
license/licence,verb,society,0.900,society
lick,verb,body,0.910,body
lid,noun,home,0.860,home
lie,noun,communication,0.920,communication
lie,verb,communication,0.670,communication
life,noun,general,0.760,general
lifeguard,noun,work,0.910,work
lifeless,adjective,general,0.720,general
lifelong,adjective,general,0.940,general
lifestyle,noun,general,0.400,health
lifetime,noun,general,0.950,general
lift,noun,travel,0.900,travel
lift,verb,general,0.450,body
light,adjective,general,0.950,general
light,noun,general,0.320,science
light,verb,general,0.720,general
lighten,verb,general,0.550,general
lighter,noun,home,0.840,home
lighting,noun,home,0.520,home
lightly,adverb,general,1.000,general
lightning,noun,nature,1.000,nature
like,conjunction,general,0.990,general
like,preposition,general,1.000,general
like,verb,feelings,0.690,feelings
likelihood,noun,general,0.900,general
likely,adjective,general,1.000,general
likeness,noun,body,0.700,body
likewise,adverb,general,0.940,general
lily,noun,animals,0.980,animals
limb,noun,body,0.990,body
limit,noun,general,0.980,general
limit,verb,general,0.990,general
limitation,noun,general,0.970,general
limited,adjective,general,1.000,general
limitless,adjective,general,0.990,general
limp,verb,body,0.960,body
line,noun,general,0.910,general
line,verb,general,0.530,general
linear,adjective,general,0.760,general
linearly,adverb,general,0.820,general
linen,noun,home,0.740,home
liner,noun,travel,0.970,travel
ling,noun,animals,0.760,animals
linger,verb,general,0.900,general
link,noun,general,0.690,general
link,verb,general,0.870,general
lion,noun,animals,1.000,animals
lip,noun,body,1.000,body
liquid,adjective,general,0.410,general
liquid,noun,science,0.760,science
list,noun,general,0.720,general
list,verb,general,0.680,general
listen,verb,communication,0.900,communication
listener,noun,communication,0.990,communication
liter/litre,noun,general,0.990,general
literal,adjective,communication,0.710,communication
literally,adverb,general,0.890,general
literary,adjective,arts,0.990,arts
literature,noun,arts,0.990,arts
litter,noun,general,0.450,nature
little,adjective,general,1.000,general
little,adverb,general,1.000,general
little,determiner,general,1.000,general
little,pronoun,general,1.000,general
live,adjective,general,0.700,general
live,verb,general,0.960,general
lively,adjective,general,0.500,general
liver,noun,body,0.960,body
living,adjective,general,0.900,general
living,noun,general,0.280,general
living room,noun,home,1.000,home
load,noun,general,0.690,general
load,verb,general,0.730,general
loaf,noun,food,1.000,food
loan,noun,business,1.000,business
lobby,noun,city,0.640,city
local,adjective,city,0.660,city
locate,verb,general,0.840,general
location,noun,city,0.790,city
lock,noun,home,0.970,home
lock,verb,home,0.620,home
locomotion,noun,general,0.440,body
locomotive,noun,travel,0.970,travel
lodge,noun,travel,0.900,travel
lodge,verb,general,0.420,communication
log,noun,nature,0.770,nature
logic,noun,education,0.540,education
logical,adjective,general,0.920,general
logo,noun,business,0.980,business
loiter,verb,general,0.330,society
loneliness,noun,feelings,1.000,feelings
lonely,adjective,feelings,1.000,feelings
long,adjective,general,1.000,general
long,adverb,general,1.000,general
long-distance,adjective,communication,0.520,communication
long-term,adjective,general,0.990,general
look,noun,body,0.990,body
look,verb,body,0.590,body
loom,verb,general,0.500,general
loose,adjective,general,0.970,general
loosely,adverb,general,1.000,general
lorry,noun,travel,1.000,travel
lose,verb,general,0.930,general
loss,noun,feelings,0.600,feelings
lost,adjective,general,0.460,travel
lot,adverb,general,1.000,general
lot,noun,general,0.960,general
lot,pronoun,general,1.000,general
lottery,noun,business,0.760,business
loud,adjective,general,0.900,general
loud,adverb,general,0.970,general
loudly,adverb,general,0.900,general
loudspeaker,noun,technology,0.930,technology
lousy,adjective,general,0.870,general
love,noun,feelings,0.980,feelings
love,verb,feelings,0.980,feelings
lovely,adjective,general,0.910,general
lover,noun,family,0.940,family
lovingly,adverb,feelings,0.710,feelings
low,adjective,general,1.000,general
low,adverb,general,0.990,general
lower,verb,general,0.930,general
lowland,noun,nature,0.980,nature
loyal,adjective,feelings,0.980,feelings
loyalty,noun,feelings,0.990,feelings
luck,noun,general,0.710,general
luckily,adverb,general,1.000,general
lucky,adjective,feelings,0.550,feelings
lucrative,adjective,business,0.990,business
ludicrous,adjective,general,0.860,general
ludicrously,adverb,general,0.970,general
luggage,noun,travel,1.000,travel
lunch,noun,food,1.000,food
lunchtime,noun,general,0.530,general
lung,noun,body,1.000,body
lurid,adjective,general,0.300,general
luridly,adverb,general,0.380,general
lush,adjective,nature,0.820,nature
lust,noun,feelings,0.990,feelings
luxurious,adjective,general,0.840,general
luxury,adjective,general,0.480,general
luxury,noun,shopping,0.600,shopping
lyric,adjective,arts,0.730,arts
lyrical,adjective,arts,0.970,arts
lyrically,adverb,arts,0.810,arts
lyricist,noun,general,0.400,entertainment
lyrics,noun,entertainment,0.810,entertainment
macabre,adjective,arts,0.690,arts
machine,noun,technology,0.990,technology
mad,adjective,feelings,1.000,feelings
madam,noun,general,0.370,communication
madame,noun,general,0.300,family
madness,noun,health,0.780,health
maelstrom,noun,nature,0.920,nature
maestro,noun,arts,0.610,arts
magazine,noun,entertainment,0.870,entertainment
maggot,noun,animals,0.990,animals
magic,adjective,general,0.850,general
magic,noun,arts,0.600,arts
magical,adjective,general,0.900,general
magician,noun,entertainment,0.690,entertainment
magnanimity,noun,feelings,1.000,feelings
magnanimous,adjective,feelings,1.000,feelings
magnanimously,adverb,feelings,0.970,feelings
magnate,noun,business,1.000,business
magnetic,adjective,science,0.750,science
magnetically,adverb,general,0.860,general
magnetism,noun,science,0.960,science
magnificent,adjective,general,0.980,general
magnify,verb,general,0.720,general
magpie,noun,animals,1.000,animals
mail,noun,communication,0.990,communication
mail,verb,communication,1.000,communication
mailbox,noun,communication,0.640,communication
main,adjective,general,1.000,general
main course,noun,food,1.000,food
mainly,adverb,general,1.000,general
maintain,verb,general,0.970,general
maintenance,noun,general,0.350,work
major,adjective,general,1.000,general
major,noun,education,0.800,education
majority,noun,general,0.480,society
make,noun,business,0.550,business
make,verb,general,1.000,general
make-up,noun,body,0.690,body
maker,noun,work,0.900,work
malady,noun,health,1.000,health
malaria,noun,health,1.000,health
male,adjective,general,0.800,general
male,noun,general,0.350,family
malfunction,verb,technology,0.980,technology
malice,noun,feelings,0.990,feelings
malicious,adjective,feelings,0.990,feelings
maliciously,adverb,feelings,0.650,feelings
mall,noun,shopping,0.760,shopping
malleability,noun,science,0.710,science
malleable,adjective,general,0.740,general
mama/mamma,noun,family,1.000,family
man,noun,general,0.430,family
man,verb,work,0.760,work
manage,verb,work,0.630,work
management,noun,work,0.680,work
manager,noun,work,0.990,work
maneuver/manoeuvre,noun,general,0.360,society
maneuver/manoeuvre,verb,general,0.490,general
mangle,verb,body,0.560,body
mango,noun,food,0.990,food
manicure,noun,body,0.940,body
manicure,verb,body,0.980,body
manipulate,verb,general,0.390,general
manipulation,noun,general,0.430,feelings
mankind,noun,society,0.860,society
manner,noun,general,0.310,communication
mansion,noun,home,0.970,home
manual,adjective,general,0.580,general
manual,noun,education,0.650,education
manufacture,noun,business,0.950,business
manufacture,verb,business,0.790,business
manufacturer,noun,business,0.940,business
manufacturing,noun,business,0.950,business
many,determiner,general,1.000,general
many,pronoun,general,1.000,general
map,noun,travel,0.900,travel
maple,noun,animals,0.910,animals
marathon,noun,sports,1.000,sports
marble,noun,nature,0.750,nature
march,noun,society,0.510,society
march,verb,body,0.740,body
margin,noun,general,0.480,business
marginal,adjective,general,0.920,general
marginally,adverb,general,1.000,general
marine,adjective,nature,0.950,nature
mariner,noun,work,0.830,work
mark,noun,education,0.760,education
mark,verb,general,0.660,general
mark-up,noun,business,1.000,business
marked,adjective,general,0.990,general
market,noun,general,0.440,shopping
market,verb,business,0.970,business
marketability,noun,business,1.000,business
marketing,noun,business,1.000,business
marriage,noun,family,1.000,family
married,adjective,family,1.000,family
marry,verb,family,1.000,family
martial art,noun,sports,0.910,sports
marvel,noun,general,0.480,general
marvel,verb,feelings,0.940,feelings
marvelous/marvellous,adjective,general,0.890,general
mash,verb,food,0.980,food
mask,noun,general,0.300,health
mass,adjective,general,0.870,general
mass,noun,science,0.590,science
massacre,noun,society,1.000,society
massage,noun,health,0.820,health
masseur,noun,work,0.600,work
massive,adjective,general,1.000,general
master,noun,work,0.730,work
masterpiece,noun,arts,1.000,arts
mastery,noun,education,0.830,education
match,noun,general,0.480,home
match,verb,general,0.900,general
mate,noun,family,0.850,family
material,noun,general,0.540,general
materialism,noun,feelings,0.540,feelings
materialistic,adjective,feelings,0.980,feelings
materialization/materialisation,noun,general,0.700,general
materialize/materialise,verb,general,0.980,general
maternal,adjective,family,0.990,family
maternalistic,adjective,feelings,0.500,feelings
math/maths,noun,education,0.630,education
mathematical,adjective,science,0.580,science
mathematician,noun,work,0.570,work
mathematics,noun,science,0.680,science
matter,noun,general,0.720,general
matter,verb,general,0.950,general
mature,adjective,general,0.380,general
mausoleum,noun,general,0.480,city
maverick,noun,feelings,0.850,feelings
max,noun,general,0.670,general
maximum,adjective,general,0.990,general
maximum,noun,general,0.930,general
may,modal auxiliary,general,0.980,general
maybe,adverb,general,1.000,general
mayor,noun,society,0.970,society
me,pronoun,general,1.000,general
meager/meagre,adjective,general,0.950,general
meal,noun,food,1.000,food
mean,adjective,feelings,0.950,feelings
mean,noun,general,0.330,general
mean,verb,communication,0.610,communication
meaning,noun,communication,0.870,communication
meaningful,adjective,general,0.920,general
meaningless,adjective,general,0.880,general
meaninglessly,adverb,general,0.810,general
means,noun,general,0.810,general
meanwhile,adverb,general,1.000,general
measure,noun,general,0.990,general
measure,verb,general,1.000,general
measurement,noun,general,0.990,general
meat,noun,food,1.000,food
mechanic,noun,work,0.980,work
mechanical,adjective,technology,0.740,technology
mechanism,noun,technology,0.720,technology
mechanize/mechanise,verb,technology,0.890,technology
medal,noun,sports,0.900,sports
media,noun,entertainment,0.580,entertainment
mediate,verb,society,0.670,society
mediation,noun,society,0.620,society
medical,adjective,health,1.000,health
medication,noun,health,1.000,health
medicine,noun,health,1.000,health
medieval/mediaeval,adjective,arts,0.870,arts
mediocre,adjective,general,0.980,general
mediocrity,noun,feelings,0.630,feelings
meditate,verb,general,0.330,feelings
meditation,noun,health,0.640,health
medium,adjective,general,0.890,general
medium,noun,communication,0.570,communication
meet,verb,general,0.710,general
meeting,noun,work,0.960,work
melancholy,adjective,feelings,1.000,feelings
melancholy,noun,feelings,1.000,feelings
melodious,adjective,entertainment,0.510,entertainment
melodiously,adverb,general,0.410,general
melody,noun,entertainment,0.920,entertainment
melon,noun,food,1.000,food
melt,verb,general,0.390,science
member,noun,society,0.570,society
membership,noun,society,0.760,society
memorable,adjective,general,0.960,general
memorial,noun,arts,0.710,arts
memorize/memorise,verb,education,0.990,education
memory,noun,feelings,0.560,feelings
menace,noun,society,0.520,society
menacing,adjective,feelings,0.690,feelings
menacingly,adverb,general,0.590,general
mend,verb,general,0.430,home
menial,adjective,work,0.990,work
mental,adjective,general,0.490,health
mentally,adverb,general,0.660,general
mention,noun,communication,1.000,communication
mention,verb,communication,1.000,communication
mentor,noun,education,0.920,education
menu,noun,food,1.000,food
mercantile,adjective,business,1.000,business
mercenary,noun,society,0.870,society
merchandise,noun,business,0.650,business
merchant,noun,business,0.790,business
mercy,noun,feelings,0.930,feelings
mere,adjective,general,1.000,general
merely,adverb,general,1.000,general
merge,verb,general,0.810,general
merger,noun,business,1.000,business
merit,noun,general,0.430,general
merit,verb,general,0.670,general
merry,adjective,feelings,0.990,feelings
mesh,verb,general,0.480,general
mesmeric,adjective,feelings,0.700,feelings
mess,noun,home,0.740,home
mess,verb,general,0.720,general
message,noun,communication,1.000,communication
message board,noun,technology,0.760,technology
messenger,noun,communication,0.620,communication
messy,adjective,general,0.790,general
metal,noun,general,0.390,nature
metalled,adjective,travel,0.570,travel
metaphor,noun,communication,0.930,communication
meteorological,adjective,nature,0.980,nature
meteorology,noun,science,0.810,science
meter/metre,noun,general,0.990,general
method,noun,general,0.710,general
methodical,adjective,feelings,0.500,feelings
methodological,adjective,general,0.410,science
methodologically,adverb,general,0.590,general
methodology,noun,education,0.500,education
meticulous,adjective,feelings,0.880,feelings
meticulously,adverb,general,0.930,general
metric,adjective,general,0.790,general
micro,noun,general,0.470,science
microbe,noun,health,0.720,health
microcomputer,noun,technology,1.000,technology
micrometer/micrometre,noun,general,0.620,general
microorganism,noun,science,0.700,science
microphone,noun,technology,0.820,technology
microscope,noun,science,0.920,science
microscopic,adjective,science,0.510,science
microscopy,noun,science,1.000,science
microwave,noun,home,0.720,home
midday,noun,general,1.000,general
middle,adjective,general,1.000,general
middle,noun,general,0.970,general
middle-aged,adjective,family,0.520,family
midnight,noun,general,1.000,general
midst,noun,general,0.990,general
midwife,noun,general,0.460,health
midwifery,noun,health,0.780,health
mien,noun,body,0.820,body
might,modal auxiliary,general,0.960,general
mighty,adjective,general,0.940,general
migration,noun,society,0.800,society
mild,adjective,general,0.840,general
mile,noun,general,0.770,general
milieu,noun,society,0.690,society
military,adjective,society,0.990,society
milk,noun,food,1.000,food
mill,noun,general,0.390,city
millimeter/millimetre,noun,general,1.000,general
million,number,general,1.000,general
millionaire,noun,business,0.980,business
mimic,noun,general,0.440,communication
mind,noun,feelings,0.710,feelings
mind,verb,general,0.530,general
mine,noun,general,0.280,nature
mine,pronoun,general,1.000,general
minefield,noun,society,0.900,society
mineral,noun,nature,0.740,nature
mineral water,noun,food,1.000,food
mingle,verb,general,0.350,entertainment
miniature,adjective,general,0.940,general
minimize/minimise,verb,general,0.970,general
minimum,adjective,general,1.000,general
minimum,noun,general,0.980,general
minister,noun,society,0.980,society
minor,adjective,general,0.990,general
minority,noun,society,0.990,society
minster,verb,general,0.430,communication
mint,noun,food,0.760,food
minus,preposition,general,0.990,general
minute,noun,general,1.000,general
minutiae,noun,general,0.880,general
miracle,noun,arts,0.720,arts
mirror,noun,home,0.980,home
mischief,noun,general,0.460,society
misconception,noun,general,0.280,general
misdemeanor/misdemanour,noun,society,1.000,society
miserable,adjective,feelings,1.000,feelings
misery,noun,feelings,1.000,feelings
misfortune,noun,feelings,0.610,feelings
mislead,verb,communication,0.850,communication
misleading,adjective,communication,0.540,communication
misplace,verb,general,0.710,general
miss,verb,general,0.580,general
missile,noun,society,0.950,society
missing,adjective,general,0.990,general
mission,noun,work,0.730,work
mist,noun,nature,1.000,nature
mistake,noun,general,0.680,general
mistreat,verb,society,0.620,society
mistrustful,adjective,feelings,1.000,feelings
misty,adjective,nature,0.990,nature
misunderstand,verb,communication,0.990,communication
misunderstanding,noun,communication,1.000,communication
mix,noun,general,0.720,general
mix,verb,general,0.860,general
mixing bowl,noun,food,0.980,food
mixture,noun,science,0.610,science
mobile,adjective,general,0.740,general
mobile,noun,technology,0.780,technology
mobile phone,noun,technology,0.820,technology
mobility,noun,travel,0.660,travel
mock,adjective,general,0.460,general
modal verb/modal,noun,communication,0.870,communication
model,adjective,general,0.900,general
model,noun,general,0.270,arts
model,verb,general,0.400,general
modem,noun,technology,1.000,technology
moderate,adjective,general,0.980,general
modern,adjective,general,0.980,general
modernism,noun,arts,1.000,arts
modernization/modernisation,noun,society,0.900,society
modernize/modernise,verb,general,0.510,general
modest,adjective,feelings,0.860,feelings
modification,noun,general,0.920,general
modify,verb,general,0.960,general
mogul,noun,business,0.990,business
moisture,noun,nature,0.870,nature
mold/mould,noun,general,0.360,nature
mold/mould,verb,general,0.430,arts
molecule,noun,science,1.000,science
mom,noun,family,1.000,family
moment,noun,general,1.000,general
momentarily,adverb,general,1.000,general
momentary,adjective,general,1.000,general
mommy/mommie,noun,family,1.000,family
monastery,noun,arts,0.860,arts
monastic,adjective,arts,0.960,arts
money,noun,business,0.990,business
monitor,noun,technology,0.920,technology
monitor,verb,general,0.730,general
monk,noun,arts,0.960,arts
monkey,noun,animals,1.000,animals
monotonous,adjective,general,0.810,general
monotonously,adverb,general,0.880,general
monotony,noun,feelings,0.830,feelings
monster,noun,general,0.330,entertainment
month,noun,general,1.000,general
monthly,adjective,general,1.000,general
monthly,adverb,general,1.000,general
monument,noun,general,0.490,city
mood,noun,feelings,1.000,feelings
moody,adjective,feelings,1.000,feelings
moon,noun,nature,0.620,nature
moonlight,noun,nature,0.980,nature
moonscape,noun,nature,0.850,nature
moor,noun,nature,0.980,nature
moral,adjective,general,0.490,feelings
moral,noun,general,0.470,feelings
morality,noun,society,0.640,society
morally,adverb,general,0.790,general
more,adverb,general,1.000,general
more,determiner,general,1.000,general
more,pronoun,general,1.000,general
moreover,adverb,general,0.970,general
moribund,adjective,general,0.650,general
morning,noun,general,1.000,general
mortal,adjective,general,0.650,general
mortar,noun,general,0.420,city
mortgage,noun,business,0.900,business
mortify,verb,feelings,1.000,feelings
mosque,noun,arts,0.780,arts
mosquito,noun,animals,1.000,animals
moss,noun,nature,0.560,nature
most,adverb,general,1.000,general
most,determiner,general,1.000,general
most,pronoun,general,1.000,general
mostly,adverb,general,1.000,general
mother,noun,family,1.000,family
mother-in-law,noun,family,1.000,family
motherland,noun,city,0.510,city
motion,noun,general,0.360,science
motionless,adjective,general,0.570,general
motivate,verb,general,0.400,general
motivated,adjective,feelings,0.930,feelings
motivation,noun,feelings,0.970,feelings
motive,noun,feelings,0.920,feelings
motley,adjective,general,0.880,general
motor,noun,travel,0.530,travel
motorbike,noun,travel,1.000,travel
motorcycle,noun,travel,1.000,travel
motorist,noun,travel,1.000,travel
motorway,noun,travel,1.000,travel
mottled,adjective,general,0.610,general
motto,noun,communication,0.560,communication
mount,noun,nature,0.970,nature
mount,verb,general,0.330,nature
mountain,noun,nature,1.000,nature
mountaineer,noun,sports,0.610,sports
mountaintop,noun,nature,1.000,nature
mourn,verb,feelings,0.990,feelings
mournful,adjective,feelings,1.000,feelings
mouse,noun,animals,0.930,animals
mouth,noun,body,1.000,body
move,noun,general,0.460,general
move,verb,general,0.560,general
movement,noun,body,0.580,body
mover,noun,work,0.560,work
movie,noun,entertainment,1.000,entertainment
moving,adjective,feelings,0.520,feelings
much,adverb,general,1.000,general
much,determiner,general,1.000,general
much,pronoun,general,1.000,general
mud,noun,nature,1.000,nature
muddy,adjective,nature,0.550,nature
mug,noun,food,0.600,food
mule,noun,animals,1.000,animals
mull over,verb,general,0.720,general
multiple,adjective,general,1.000,general
multiply,verb,general,0.540,general
mum,noun,family,1.000,family
mumble,noun,communication,0.980,communication
mumble,verb,communication,1.000,communication
munch,verb,food,0.900,food
mundanity,noun,general,0.540,general
munificence,noun,feelings,0.770,feelings
murder,noun,society,1.000,society
murder,verb,society,0.990,society
murderer,noun,society,1.000,society
murmur,noun,communication,0.920,communication
muscle,noun,body,1.000,body
muscle-bound,adjective,body,0.930,body
muscular,adjective,body,0.990,body
muse,verb,general,0.450,arts
museum,noun,arts,0.970,arts
mushroom,noun,food,0.920,food
music,noun,entertainment,0.960,entertainment
musical,adjective,entertainment,0.610,entertainment
musical,noun,entertainment,0.540,entertainment
musician,noun,general,0.430,entertainment
must,modal auxiliary,general,0.960,general
mustache/moustache,noun,body,1.000,body
mustard,noun,food,1.000,food
mutability,noun,general,0.600,general
mutable,adjective,general,0.960,general
mutinous,adjective,society,0.730,society
mutinously,adverb,society,0.840,society
mutter,noun,communication,0.960,communication
mutter,verb,communication,0.990,communication
mutton,noun,food,1.000,food
mutual,adjective,general,0.890,general
mutually,adverb,general,0.990,general
my,determiner,general,1.000,general
myriad,adjective,general,1.000,general
myself,pronoun,general,1.000,general
mysterious,adjective,general,0.810,general
mystery,noun,general,0.390,general
mystify,verb,general,0.380,general
mystique,noun,general,0.330,arts
myth,noun,arts,1.000,arts
mythological,adjective,arts,0.980,arts
mythology,noun,arts,1.000,arts
nail,noun,home,0.630,home
naive,adjective,feelings,0.950,feelings
naively,adverb,general,0.470,feelings
naivety,noun,feelings,1.000,feelings
naked,adjective,body,0.870,body
name,noun,general,0.380,communication
name,verb,communication,0.560,communication
nano,noun,science,0.680,science
nap,noun,body,0.530,body
napkin,noun,food,0.940,food
narcissistic,adjective,feelings,0.990,feelings
narrate,verb,communication,0.980,communication
narrative,adjective,communication,0.670,communication
narrator,noun,arts,0.720,arts
narrow,adjective,general,1.000,general
narrowly,adverb,general,1.000,general
nascent,adjective,general,0.970,general
nasty,adjective,general,0.510,general
nation,noun,general,0.480,city
national,adjective,society,0.600,society
nationalist,noun,society,0.990,society
nationality,noun,society,0.580,society
nationwide,adjective,general,0.510,general
nationwide,adverb,general,0.790,general
native,adjective,general,0.460,communication
native speaker,noun,communication,0.980,communication
natural,adjective,general,0.820,general
naturally,adverb,general,1.000,general
naturalness,noun,general,0.250,nature
nature,noun,nature,0.950,nature
naughty,adjective,feelings,0.890,feelings
naval,adjective,society,0.850,society
navigate,verb,travel,0.990,travel
navigation,noun,travel,0.990,travel
navy,noun,society,0.960,society
navy blue,adjective,shopping,0.760,shopping
near,adjective,general,0.990,general
near,adverb,general,1.000,general
near,preposition,general,1.000,general
nearby,adjective,general,0.910,general
nearby,adverb,general,0.970,general
nearly,adverb,general,1.000,general
neat,adjective,general,0.750,general
necessarily,adverb,general,1.000,general
necessary,adjective,general,1.000,general
necessity,noun,general,0.950,general
neck,noun,body,1.000,body
necklace,noun,shopping,1.000,shopping
nectar,noun,food,0.900,food
need,modal auxiliary,general,0.970,general
need,noun,general,0.930,general
need,verb,general,1.000,general
needle,noun,home,0.820,home
needless,adjective,general,0.990,general
needy,adjective,general,0.480,society
negative,adjective,general,0.910,general
negatively,adverb,general,0.990,general
neglect,noun,general,0.380,feelings
neglectful,adjective,feelings,0.890,feelings
negligent,adjective,general,0.470,feelings
negligently,adverb,society,0.530,society
negligible,adjective,general,1.000,general
negotiate,verb,business,0.740,business
negotiation,noun,business,0.770,business
neighbor/neighbour,noun,general,0.400,family
neighborhood/neighbourhood,noun,city,1.000,city
neighboring/neighbouring,adjective,city,0.710,city
neither,adverb,general,1.000,general
neither,conjunction,general,1.000,general
neither,determiner,general,1.000,general
neither,pronoun,general,1.000,general
neophyte,noun,general,0.370,arts
nephew,noun,family,1.000,family
nerve,noun,body,0.910,body
nerves,noun,feelings,0.510,feelings
nervous,adjective,feelings,1.000,feelings
nervously,adverb,feelings,0.830,feelings
nervousness,noun,feelings,1.000,feelings
ness,noun,general,0.500,general
net,adjective,general,0.700,general
net,noun,general,0.330,sports
netsurfer/net surfer,noun,technology,1.000,technology
network,noun,technology,0.880,technology
neurosis,noun,health,0.990,health
neutral,adjective,general,0.870,general
neutralization/neutralisation,noun,science,0.860,science
neutralize/neutralise,verb,science,0.650,science
never,adverb,general,1.000,general
nevertheless,adverb,general,1.000,general
new,adjective,general,1.000,general
newborn,adjective,family,0.980,family
newcomer,noun,general,0.480,society
newly,adverb,general,1.000,general
news,noun,general,0.450,entertainment
newscaster,noun,entertainment,0.530,entertainment
newspaper,noun,general,0.480,communication
newsworthy,adjective,communication,0.510,communication
next,adverb,general,1.000,general
next,determiner,general,1.000,general
next,pronoun,general,1.000,general
next door,adverb,general,0.340,general
next to,preposition,general,1.000,general
next-door,adjective,general,0.440,home
nice,adjective,general,0.930,general
nicely,adverb,general,1.000,general
niche,noun,business,0.770,business
nickname,noun,communication,0.880,communication
niece,noun,family,1.000,family
nigh,adverb,general,1.000,general
night,noun,general,1.000,general
nightclub,noun,entertainment,0.890,entertainment
nightlife,noun,entertainment,0.950,entertainment
nightmare,noun,feelings,0.950,feelings
nine,number,general,1.000,general
nineteen,number,general,1.000,general
ninety,number,general,1.000,general
no,adverb,general,0.990,general
no,determiner,general,1.000,general
no one,pronoun,general,1.000,general
nobility,noun,society,0.970,society
noble,adjective,feelings,0.870,feelings
nobleman,noun,society,0.940,society
nobody,pronoun,general,1.000,general
nocturnal,adjective,general,0.750,general
nod,noun,body,0.690,body
nod,verb,body,0.660,body
noise,noun,general,0.570,general
noisily,adverb,general,0.990,general
noisy,adjective,general,0.960,general
nomad,noun,travel,0.660,travel
nomination,noun,society,0.980,society
nominee,noun,society,0.990,society
non-smoking,adjective,health,0.610,health
nonchalant,adjective,feelings,0.990,feelings
nonchalantly,adverb,feelings,0.560,feelings
nondescript,adjective,general,0.980,general
none,pronoun,general,1.000,general
nonetheless,adverb,general,1.000,general
nonprofessional,adjective,work,0.980,work
nonsense,noun,communication,0.800,communication
noon,noun,general,1.000,general
nor,conjunction,general,1.000,general
normal,adjective,general,1.000,general
normally,adverb,general,1.000,general
norms,noun,society,0.970,society
north,adjective,travel,0.520,travel
north,adverb,travel,0.700,travel
north,noun,travel,0.900,travel
northeast,adjective,travel,0.630,travel
northeast,noun,travel,0.850,travel
northeastern,adjective,city,0.770,city
northern,adjective,general,0.450,city
northward,adverb,travel,0.830,travel
northwest,adjective,travel,0.550,travel
northwest,noun,travel,0.830,travel
northwestern,adjective,city,0.500,city
nose,noun,body,1.000,body
nostalgia,noun,feelings,1.000,feelings
nostalgic,adjective,feelings,1.000,feelings
nostalgically,adverb,feelings,0.930,feelings
nostril,noun,body,1.000,body
not,adverb,general,1.000,general
notable,adjective,general,1.000,general
note,noun,communication,0.810,communication
note,verb,communication,0.810,communication
notebook,noun,education,0.990,education
nothing,pronoun,general,1.000,general
notice,noun,communication,0.950,communication
notice,verb,general,0.430,general
noticeable,adjective,general,0.990,general
noticeboard,noun,education,0.640,education
notion,noun,feelings,0.630,feelings
notoriety,noun,society,0.800,society
notorious,adjective,society,0.540,society
notoriously,adverb,general,0.960,general
notwithstanding,preposition,general,1.000,general
nought,noun,general,0.970,general
noun,noun,communication,0.530,communication
nourish,verb,food,0.900,food
nourishment,noun,food,0.930,food
novel,noun,arts,0.980,arts
novelist,noun,arts,0.640,arts
novelty,noun,general,0.750,general
now,adverb,general,1.000,general
now,conjunction,general,1.000,general
nowadays,adverb,general,1.000,general
nowhere,adverb,general,0.990,general
nuclear,adjective,science,0.890,science
nucleus,noun,science,0.940,science
nuisance,noun,general,0.640,general
numb,adjective,body,0.770,body
numb,verb,body,0.510,body
number,noun,general,1.000,general
numerical,adjective,general,0.910,general
numerous,adjective,general,1.000,general
nurse,noun,general,0.480,health
nurse,verb,health,0.880,health
nursery,noun,education,0.930,education
nut,noun,food,0.990,food
nutrient,noun,food,0.730,food
nutrition,noun,health,0.550,health
nutritious,adjective,food,0.940,food
nutshell,noun,general,0.450,communication
o'clock,adverb,general,1.000,general
oak,noun,animals,0.770,animals
oath,noun,society,0.790,society
obedience,noun,feelings,0.650,feelings
obedient,adjective,feelings,0.970,feelings
obey,verb,society,0.590,society
